"subject","predicate","object","certainty","source"
"ms-ocf-xv-a","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-a","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-a-origin-corbie","occurred_at","place-corbie","probable","origin field"
"ms-ocf-xv-a","has_origin_or_context_place","place-corbie","probable","origin field"
"ms-ocf-xv-b","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-b","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-b-origin-cambrai","occurred_at","place-cambrai","probable","origin field"
"ms-ocf-xv-b","has_origin_or_context_place","place-cambrai","probable","origin field"
"event-ms-ocf-xv-b-origin-trier","occurred_at","place-trier","probable","origin field"
"ms-ocf-xv-b","has_origin_or_context_place","place-trier","probable","origin field"
"ms-ocf-xv-c","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-c","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xv-d","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-d","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-d-origin-saint-germain-des-pres-paris","occurred_at","place-saint-germain-des-pres-paris","probable","origin field"
"ms-ocf-xv-d","has_origin_or_context_place","place-saint-germain-des-pres-paris","probable","origin field"
"ms-ocf-xv-e","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-e","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-e-origin-chartres","occurred_at","place-chartres","probable","origin field"
"ms-ocf-xv-e","has_origin_or_context_place","place-chartres","probable","origin field"
"ms-ocf-xv-f","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-f","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-f-origin-tournai","occurred_at","place-tournai","possible","origin field"
"ms-ocf-xv-f","has_origin_or_context_place","place-tournai","possible","origin field"
"event-ms-ocf-xv-f-origin-saint-amand-les-eaux","occurred_at","place-saint-amand-les-eaux","probable","origin field"
"ms-ocf-xv-f","has_origin_or_context_place","place-saint-amand-les-eaux","probable","origin field"
"ms-ocf-xv-g","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-g","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-g-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xv-g","has_origin_or_context_place","place-reims","probable","origin field"
"ms-ocf-xv-h","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-h","currently_kept_at","repo-sens-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-h-origin-sens","occurred_at","place-sens","probable","origin field"
"ms-ocf-xv-h","has_origin_or_context_place","place-sens","probable","origin field"
"ms-ocf-xv-i","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-i","currently_kept_at","repo-troyes-tre-sor-de-la-cathe-drale","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-i-origin-abbey-of-saint-loup-troyes","occurred_at","place-abbey-of-saint-loup-troyes","probable","origin field"
"ms-ocf-xv-i","has_origin_or_context_place","place-abbey-of-saint-loup-troyes","probable","origin field"
"ms-ocf-xv-j","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-j","currently_kept_at","repo-siena-bibl-comunale-degli-intronati","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-j-origin-tyre","occurred_at","place-tyre","probable","origin field"
"ms-ocf-xv-j","has_origin_or_context_place","place-tyre","probable","origin field"
"ms-ocf-xv-k","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-k","currently_kept_at","repo-rouen-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-k-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xv-k","has_origin_or_context_place","place-reims","probable","origin field"
