"subject","predicate","object","certainty","source"
"ms-ocf-xvi-a","witnesses","OCF-XVI","certain","OCF-XVI witness list"
"ms-ocf-xvi-a","currently_kept_at","repo-cologne-erzbischo-fliche-dio-zesan-und-dombibl","certain","shelfmark/repository metadata"
"event-ms-ocf-xvi-a-origin-cambrai","occurred_at","place-cambrai","probable","origin field"
"ms-ocf-xvi-a","has_origin_or_context_place","place-cambrai","probable","origin field"
"event-ms-ocf-xvi-a-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xvi-a","has_origin_or_context_place","place-reims","probable","origin field"
"ms-ocf-xvi-b","witnesses","OCF-XVI","certain","OCF-XVI witness list"
"ms-ocf-xvi-b","currently_kept_at","repo-bamberg-staatsbibl","certain","shelfmark/repository metadata"
"ms-ocf-xvi-b","copied_from","ms-ocf-xvi-a","probable","witness note"
"ms-ocf-xvi-a","associated_with","actor-cologne-dombibliothek","probable","entity enrichment"
"ms-ocf-xvi-a","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xvi-a","associated_with","actor-cambrai-church","probable","entity enrichment"
"ms-ocf-xvi-a","edited_or_studied_by","actor-michel-andrieu","probable","entity enrichment"
"ms-ocf-xvi-a","has_reference","ref-ms-ocf-xvi-a-digital","certain","digital_facsimile"
"ms-ocf-xvi-a","cited_by","ref-ms-ocf-xvi-a-bib-1","certain","edition_or_catalogue"
"ms-ocf-xvi-b","associated_with","actor-bamberg-staatsbibliothek","probable","entity enrichment"
"ms-ocf-xvi-b","edited_or_studied_by","actor-friedrich-leitschuh","probable","entity enrichment"
"ms-ocf-xvi-b","cited_by","ref-ms-ocf-xvi-b-bib-1","certain","bibliography"
"OCF-XVI","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XVI","preserved_in","ms-ocf-xvi-a","certain","OCF-XVI witness list"
"OCF-XVI","preserved_in","ms-ocf-xvi-b","certain","OCF-XVI witness list"
