"subject","predicate","object","certainty","source"
"ms-ocf-xviia-a","witnesses","OCF-XVIIA","certain","OCF-XVIIA witness list"
"ms-ocf-xviia-a","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"ms-ocf-xviia-lost-mss-1-5","witnesses","OCF-XVIIA","certain","OCF-XVIIA witness list"
"ms-ocf-xviia-lost-mss-1-5","currently_kept_at","repo-multiple-lost-witnesses-reims-beauvais-toul-sirmond-lost","certain","shelfmark/repository metadata"
"ms-ocf-xviia-a","associated_with","actor-bav","probable","entity enrichment"
"ms-ocf-xviia-a","associated_with","actor-beauvais-church","probable","entity enrichment"
"ms-ocf-xviia-a","cited_by","ref-ms-ocf-xviia-a-bib-1","certain","bibliography"
"ms-ocf-xviia-a","cited_by","ref-ms-ocf-xviia-a-bib-2","certain","bibliography"
"ms-ocf-xviia-lost-mss-1-5","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xviia-lost-mss-1-5","associated_with","actor-beauvais-church","probable","entity enrichment"
"ms-ocf-xviia-lost-mss-1-5","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"OCF-XVIIA","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XVIIA","preserved_in","ms-ocf-xviia-a","certain","OCF-XVIIA witness list"
"OCF-XVIIA","preserved_in","ms-ocf-xviia-lost-mss-1-5","certain","OCF-XVIIA witness list"
