"subject","predicate","object","certainty","source"
"ms-ocf-xviii-a","witnesses","OCF-XVIII","certain","OCF-XVIII witness list"
"ms-ocf-xviii-a","currently_kept_at","repo-saint-omer-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xviii-a-origin-saint-bertin-saint-omer","occurred_at","place-saint-bertin-saint-omer","probable","origin field"
"ms-ocf-xviii-a","has_origin_or_context_place","place-saint-bertin-saint-omer","probable","origin field"
"ms-ocf-xviii-b","witnesses","OCF-XVIII","certain","OCF-XVIII witness list"
"ms-ocf-xviii-b","currently_kept_at","repo-paris-bibl-sainte-genevie-ve","certain","shelfmark/repository metadata"
"event-ms-ocf-xviii-b-origin-senlis","occurred_at","place-senlis","probable","origin field"
"ms-ocf-xviii-b","has_origin_or_context_place","place-senlis","probable","origin field"
"ms-ocf-xviii-a","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xviii-a","cited_by","ref-ms-ocf-xviii-a-bib-1","certain","edition_or_catalogue"
"ms-ocf-xviii-b","associated_with","actor-sainte-genevieve-library","probable","entity enrichment"
"ms-ocf-xviii-b","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xviii-b","cited_by","ref-ms-ocf-xviii-b-bib-1","certain","edition_or_catalogue"
"OCF-XVIII","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XVIII","preserved_in","ms-ocf-xviii-a","certain","OCF-XVIII witness list"
"OCF-XVIII","preserved_in","ms-ocf-xviii-b","certain","OCF-XVIII witness list"
