"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xxa-a-current-repository","A kept at Reims, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xxa-a","repo-reims-bibl-mun","","","Reims, Bibl. mun., MS 328 is currently kept at Reims, Bibl. mun..","certain"
"event-ms-ocf-xxa-a-origin-reims","A origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xxa-a","place-reims","Late 13th century","Late 13th century","Reims, Bibl. mun., MS 328: origin/context recorded as ""Reims Cathedral (ordinary)"".","probable"
"event-ms-ocf-xxa-b-current-repository","B kept at Reims, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xxa-b","repo-reims-bibl-mun","","","Reims, Bibl. mun., MS 329 is currently kept at Reims, Bibl. mun..","certain"
"event-ms-ocf-xxa-b-origin-reims","B origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xxa-b","place-reims","ca. 1300","ca. 1300","Reims, Bibl. mun., MS 329: origin/context recorded as ""Reims Cathedral (ordinary)"".","probable"
"event-ms-ocf-xxa-c-current-repository","C kept at Reims, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xxa-c","repo-reims-bibl-mun","","","Reims, Bibl. mun., MS 330 is currently kept at Reims, Bibl. mun..","certain"
"event-ms-ocf-xxa-c-origin-reims","C origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xxa-c","place-reims","14th century, first quarter","14th century, first quarter","Reims, Bibl. mun., MS 330: origin/context recorded as ""Reims Cathedral (ordinary)"".","probable"
"event-ms-ocf-xxa-d-current-repository","D kept at Wolfenbüttel, Herzog August Bibl.","E7 Activity","activity","current_repository","ms-ocf-xxa-d","repo-wolfenbu-ttel-herzog-august-bibl","","","Wolfenbüttel, Herzog August Bibl., MS Guelf 1 Gud. lat. 20 is currently kept at Wolfenbüttel, Herzog August Bibl..","certain"
"event-ms-ocf-xxa-d-origin-cambrai","D origin/context: Cambrai","E12 Production","production","copying_or_origin","ms-ocf-xxa-d","place-cambrai","14th century (addition to 12th-century MS)","14th century (addition to 12th-century MS)","Wolfenbüttel, Herzog August Bibl., MS Guelf 1 Gud. lat. 20: origin/context recorded as ""Diocese of Thérouanne, Tournai, or Cambrai"".","probable"
"event-ms-ocf-xxa-d-origin-therouanne","D origin/context: Therouanne","E12 Production","production","copying_or_origin","ms-ocf-xxa-d","place-therouanne","14th century (addition to 12th-century MS)","14th century (addition to 12th-century MS)","Wolfenbüttel, Herzog August Bibl., MS Guelf 1 Gud. lat. 20: origin/context recorded as ""Diocese of Thérouanne, Tournai, or Cambrai"".","possible"
"event-ms-ocf-xxa-d-origin-tournai","D origin/context: Tournai","E12 Production","production","copying_or_origin","ms-ocf-xxa-d","place-tournai","14th century (addition to 12th-century MS)","14th century (addition to 12th-century MS)","Wolfenbüttel, Herzog August Bibl., MS Guelf 1 Gud. lat. 20: origin/context recorded as ""Diocese of Thérouanne, Tournai, or Cambrai"".","possible"
"event-ms-ocf-xxa-e-current-repository","E kept at Chantilly, Musée Condé","E7 Activity","activity","current_repository","ms-ocf-xxa-e","repo-chantilly-muse-e-conde","","","Chantilly, Musée Condé, MS 1596 is currently kept at Chantilly, Musée Condé.","certain"
"event-ms-ocf-xxa-f-current-repository","F kept at The Hague, Koninklijke Bibl.","E7 Activity","activity","current_repository","ms-ocf-xxa-f","repo-the-hague-koninklijke-bibl","","","The Hague, Koninklijke Bibl., MS 72 A 23 is currently kept at The Hague, Koninklijke Bibl..","certain"
"event-ms-ocf-xxa-f-origin-lille","F origin/context: Lille","E12 Production","production","copying_or_origin","ms-ocf-xxa-f","place-lille","1460","1460","The Hague, Koninklijke Bibl., MS 72 A 23: origin/context recorded as ""Lille or Ninove"".","possible"
"event-ms-ocf-xxa-f-origin-ninove","F origin/context: Ninove","E12 Production","production","copying_or_origin","ms-ocf-xxa-f","place-ninove","1460","1460","The Hague, Koninklijke Bibl., MS 72 A 23: origin/context recorded as ""Lille or Ninove"".","possible"
"event-ms-ocf-xxa-g-current-repository","G kept at Genoa, Bibl. Durazzo-Giustiniani","E7 Activity","activity","current_repository","ms-ocf-xxa-g","repo-genoa-bibl-durazzo-giustiniani","","","Genoa, Bibl. Durazzo-Giustiniani, MS A IX 9 is currently kept at Genoa, Bibl. Durazzo-Giustiniani.","certain"
"event-ms-ocf-xxa-h-current-repository","H kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-xxa-h","repo-vatican-city-bav","","","Vatican City, BAV, MS Reg. lat. 574 is currently kept at Vatican City, BAV.","certain"
