"id","label","openatlasClass","systemClass","type","lat","lon","certainty","note"
"place-cambrai","Cambrai","E53 Place","place","scriptorium_or_origin_place","50.176","3.235","probable","Origin/context place parsed from ""Diocese of Thérouanne, Tournai, or Cambrai""."
"repo-chantilly-muse-e-conde","Chantilly, Musée Condé","E53 Place","place","repository_place","49.1945","2.4858","certain","Current repository inferred from shelfmark: Chantilly, Musée Condé, MS 1596"
"repo-genoa-bibl-durazzo-giustiniani","Genoa, Bibl. Durazzo-Giustiniani","E53 Place","place","repository_place","44.4072","8.934","certain","Current repository inferred from shelfmark: Genoa, Bibl. Durazzo-Giustiniani, MS A IX 9"
"place-lille","Lille","E53 Place","place","scriptorium_or_origin_place","50.629","3.057","possible","Origin/context place parsed from ""Lille or Ninove""."
"place-ninove","Ninove","E53 Place","place","scriptorium_or_origin_place","50.827","4.026","possible","Origin/context place parsed from ""Lille or Ninove""."
"place-reims","Reims","E53 Place","place","scriptorium_or_origin_place","49.258","4.031","probable","Origin/context place parsed from ""Reims Cathedral (ordinary)""."
"repo-reims-bibl-mun","Reims, Bibl. mun.","E53 Place","place","repository_place","49.2541","3.025","certain","Current repository inferred from shelfmark: Reims, Bibl. mun., MS 330"
"repo-the-hague-koninklijke-bibl","The Hague, Koninklijke Bibl.","E53 Place","place","repository_place","52.0817","4.326","certain","Current repository inferred from shelfmark: The Hague, Koninklijke Bibl., MS 72 A 23"
"place-therouanne","Therouanne","E53 Place","place","diocesan_context","50.636","2.258","possible","Origin/context place parsed from ""Diocese of Thérouanne, Tournai, or Cambrai""."
"place-tournai","Tournai","E53 Place","place","diocesan_context","50.605","3.389","possible","Origin/context place parsed from ""Diocese of Thérouanne, Tournai, or Cambrai""."
"repo-vatican-city-bav","Vatican City, BAV","E53 Place","place","repository_place","41.9022","12.4539","certain","Current repository inferred from shelfmark: Vatican City, BAV, MS Reg. lat. 574"
"repo-wolfenbu-ttel-herzog-august-bibl","Wolfenbüttel, Herzog August Bibl.","E53 Place","place","repository_place","52.1637","10.5333","certain","Current repository inferred from shelfmark: Wolfenbüttel, Herzog August Bibl., MS Guelf 1 Gud. lat. 20"
