"subject","predicate","object","certainty","source"
"ms-ocf-xxa-a","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-a","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xxa-a-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xxa-a","has_origin_or_context_place","place-reims","probable","origin field"
"ms-ocf-xxa-b","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-b","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xxa-b-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xxa-b","has_origin_or_context_place","place-reims","probable","origin field"
"ms-ocf-xxa-c","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-c","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xxa-c-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xxa-c","has_origin_or_context_place","place-reims","probable","origin field"
"ms-ocf-xxa-d","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-d","currently_kept_at","repo-wolfenbu-ttel-herzog-august-bibl","certain","shelfmark/repository metadata"
"event-ms-ocf-xxa-d-origin-cambrai","occurred_at","place-cambrai","probable","origin field"
"ms-ocf-xxa-d","has_origin_or_context_place","place-cambrai","probable","origin field"
"event-ms-ocf-xxa-d-origin-therouanne","occurred_at","place-therouanne","possible","origin field"
"ms-ocf-xxa-d","has_origin_or_context_place","place-therouanne","possible","origin field"
"event-ms-ocf-xxa-d-origin-tournai","occurred_at","place-tournai","possible","origin field"
"ms-ocf-xxa-d","has_origin_or_context_place","place-tournai","possible","origin field"
"ms-ocf-xxa-e","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-e","currently_kept_at","repo-chantilly-muse-e-conde","certain","shelfmark/repository metadata"
"ms-ocf-xxa-f","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-f","currently_kept_at","repo-the-hague-koninklijke-bibl","certain","shelfmark/repository metadata"
"event-ms-ocf-xxa-f-origin-lille","occurred_at","place-lille","possible","origin field"
"ms-ocf-xxa-f","has_origin_or_context_place","place-lille","possible","origin field"
"event-ms-ocf-xxa-f-origin-ninove","occurred_at","place-ninove","possible","origin field"
"ms-ocf-xxa-f","has_origin_or_context_place","place-ninove","possible","origin field"
"ms-ocf-xxa-g","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-g","currently_kept_at","repo-genoa-bibl-durazzo-giustiniani","certain","shelfmark/repository metadata"
"ms-ocf-xxa-h","witnesses","OCF-XXA","certain","OCF-XXA witness list"
"ms-ocf-xxa-h","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"ms-ocf-xxa-a","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxa-b","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxa-c","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxa-d","associated_with","actor-wolfenbuettel-hab","probable","entity enrichment"
"ms-ocf-xxa-d","associated_with","actor-cambrai-church","probable","entity enrichment"
"ms-ocf-xxa-d","associated_with","actor-saint-martin-tournai","probable","entity enrichment"
"ms-ocf-xxa-d","has_reference","ref-ms-ocf-xxa-d-digital","certain","digital_facsimile"
"ms-ocf-xxa-e","associated_with","actor-chantilly-conde","probable","entity enrichment"
"ms-ocf-xxa-e","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xxa-e","has_reference","ref-ms-ocf-xxa-e-digital","certain","iiif_manifest"
"ms-ocf-xxa-f","associated_with","actor-koninklijke-bibliotheek","probable","entity enrichment"
"ms-ocf-xxa-g","associated_with","actor-genoa-university-library","probable","entity enrichment"
"ms-ocf-xxa-h","associated_with","actor-bav","probable","entity enrichment"
"ms-ocf-xxa-h","has_reference","ref-ms-ocf-xxa-h-digital","certain","digital_facsimile"
"OCF-XXA","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XXA","preserved_in","ms-ocf-xxa-a","certain","OCF-XXA witness list"
"OCF-XXA","preserved_in","ms-ocf-xxa-b","certain","OCF-XXA witness list"
"OCF-XXA","preserved_in","ms-ocf-xxa-c","certain","OCF-XXA witness list"
"OCF-XXA","preserved_in","ms-ocf-xxa-d","certain","OCF-XXA witness list"
"OCF-XXA","preserved_in","ms-ocf-xxa-e","certain","OCF-XXA witness list"
"OCF-XXA","preserved_in","ms-ocf-xxa-f","certain","OCF-XXA witness list"
"OCF-XXA","preserved_in","ms-ocf-xxa-g","certain","OCF-XXA witness list"
"OCF-XXA","preserved_in","ms-ocf-xxa-h","certain","OCF-XXA witness list"
