"subject","predicate","object","certainty","source"
"ms-ocf-xxi-a","witnesses","OCF-XXI","certain","OCF-XXI witness list"
"ms-ocf-xxi-a","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xxi-a-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xxi-a","has_origin_or_context_place","place-reims","probable","origin field"
"event-ms-ocf-xxi-a-origin-paris","occurred_at","place-paris","probable","origin field"
"ms-ocf-xxi-a","has_origin_or_context_place","place-paris","probable","origin field"
"ms-ocf-xxi-b","witnesses","OCF-XXI","certain","OCF-XXI witness list"
"ms-ocf-xxi-b","currently_kept_at","repo-paris-bibl-de-l-institut-de-france","certain","shelfmark/repository metadata"
"ms-ocf-xxi-a","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxi-a","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxi-a","edited_or_studied_by","actor-robert-branner","probable","entity enrichment"
"ms-ocf-xxi-a","edited_or_studied_by","actor-pierre-bonne","probable","entity enrichment"
"ms-ocf-xxi-a","cited_by","ref-ms-ocf-xxi-a-bib-1","certain","bibliography"
"ms-ocf-xxi-a","cited_by","ref-ms-ocf-xxi-a-bib-2","certain","bibliography"
"ms-ocf-xxi-b","associated_with","actor-institut-de-france","probable","entity enrichment"
"ms-ocf-xxi-b","associated_person","actor-denis-godefroy","probable","entity enrichment"
"OCF-XXI","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XXI","preserved_in","ms-ocf-xxi-a","certain","OCF-XXI witness list"
"OCF-XXI","preserved_in","ms-ocf-xxi-b","certain","OCF-XXI witness list"
