"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-arles-church","Arles ecclesiastical milieu","E74 Group","actor","institution","episcopal / liturgical context","place-arles",""
"actor-bav","Biblioteca Apostolica Vaticana","E74 Group","actor","institution","repository institution / digital provider","repo-vatican-city-bav",""
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf",""
"actor-british-library","British Library","E74 Group","actor","institution","repository institution / digital provider","repo-london-british-library",""
"actor-cambrai-church","Cambrai ecclesiastical milieu","E74 Group","actor","institution","adaptation / use context","place-cambrai",""
"actor-charles-v-france","Charles V of France","E21 Person","actor","person","royal patron / former owner","place-paris",""
"actor-gallica","Gallica","E74 Group","actor","source","digital source platform","repo-paris-bnf",""
"actor-reims-cathedral","Reims Cathedral / Chapter Library","E74 Group","actor","institution","cathedral repository / coronation center","place-reims",""
"actor-sens-cathedral","Sens Cathedral / Library","E74 Group","actor","institution","cathedral repository / origin context","repo-sens-bibl-mun",""
"actor-university-illinois-library","University of Illinois Library","E74 Group","actor","institution","repository institution","repo-urbana-university-of-illinois-library",""
"actor-victor-leroquais","Victor Leroquais","E21 Person","actor","editor","cataloguer / scholar","place-paris",""
