"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xxiia-a-current-repository","A kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiia-a","repo-paris-bnf","","","Paris, BnF, MS nouv. acq. lat. 1202 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiia-a-origin-meaux","A origin/context: Meaux","E12 Production","production","copying_or_origin","ms-ocf-xxiia-a","place-meaux","ca. 1250–270","ca. 1250–270","Paris, BnF, MS nouv. acq. lat. 1202: origin/context recorded as ""Meaux (pontifical)"".","probable"
"event-ms-ocf-xxiia-b-current-repository","B kept at Urbana, University of Illinois Library","E7 Activity","activity","current_repository","ms-ocf-xxiia-b","repo-urbana-university-of-illinois-library","","","Urbana, University of Illinois Library, unnumbered MS is currently kept at Urbana, University of Illinois Library.","certain"
"event-ms-ocf-xxiia-b-origin-france","B origin/context: France","E12 Production","production","copying_or_origin","ms-ocf-xxiia-b","place-france","ca. 1330","ca. 1330","Urbana, University of Illinois Library, unnumbered MS: origin/context recorded as ""France"".","possible"
"event-ms-ocf-xxiia-c-current-repository","C kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-xxiia-c","repo-vatican-city-bav","","","Vatican City, BAV, MS Chigi C VI 182 is currently kept at Vatican City, BAV.","certain"
"event-ms-ocf-xxiia-c-origin-cambrai","C origin/context: Cambrai","E12 Production","production","copying_or_origin","ms-ocf-xxiia-c","place-cambrai","Mid 14th century","Mid 14th century","Vatican City, BAV, MS Chigi C VI 182: origin/context recorded as ""Cambrai (or Reims)"".","probable"
"event-ms-ocf-xxiia-c-origin-reims","C origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xxiia-c","place-reims","Mid 14th century","Mid 14th century","Vatican City, BAV, MS Chigi C VI 182: origin/context recorded as ""Cambrai (or Reims)"".","probable"
"event-ms-ocf-xxiia-d-current-repository","D kept at London, British Library","E7 Activity","activity","current_repository","ms-ocf-xxiia-d","repo-london-british-library","","","London, British Library, MS Egerton 931 is currently kept at London, British Library.","certain"
"event-ms-ocf-xxiia-d-origin-sens","D origin/context: Sens","E12 Production","production","copying_or_origin","ms-ocf-xxiia-d","place-sens","1346–378","1346–378","London, British Library, MS Egerton 931: origin/context recorded as ""Sens (for Archbishop Guillaume de Melun)"".","probable"
"event-ms-ocf-xxiia-e-current-repository","E kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-xxiia-e","repo-vatican-city-bav","","","Vatican City, BAV, MS lat. 4733 is currently kept at Vatican City, BAV.","certain"
"event-ms-ocf-xxiia-f-current-repository","F kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiia-f","repo-paris-bnf","","","Paris, BnF, MS lat. 3968 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiia-g-current-repository","G kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiia-g","repo-paris-bnf","","","Paris, BnF, MS fr. 14371 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiia-g-2-current-repository","G kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiia-g-2","repo-paris-bnf","","","Paris, BnF, MS fr. 14371 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiia-h-current-repository","H kept at London, British Library","E7 Activity","activity","current_repository","ms-ocf-xxiia-h","repo-london-british-library","","","London, British Library, MS Arundel 149 is currently kept at London, British Library.","certain"
"event-ms-ocf-xxiia-i-current-repository","I kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiia-i","repo-paris-bnf","","","Paris, BnF, MS lat. 12080 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiia-j-current-repository","J kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiia-j","repo-paris-bnf","","","Paris, BnF, MS nouv. acq. fr. 7232 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiia-k-current-repository","K kept at Sens, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xxiia-k","repo-sens-bibl-mun","","","Sens, Bibl. mun., MS 11 is currently kept at Sens, Bibl. mun..","certain"
