"id","siglum","displaySiglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xxiia-a","A","A","A — Paris, BnF, MS nouv. acq. lat. 1202","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS nouv. acq. lat. 1202","fols. 121r–43v","ca. 1250–270","Meaux (pontifical)","repo-paris-bnf","Paris, BnF","","","","","Base text. Oldest surviving copy.","Leroquais, Pontificaux, 2: 235; Molin, 'Un pontifical de Meaux'"
"ms-ocf-xxiia-b","B","B","B — Urbana, University of Illinois Library, unnumbered MS","E22 Human-Made Object","artifact","manuscript_witness","primary","Urbana, University of Illinois Library, unnumbered MS","fols. 1r–3v","ca. 1330","France","repo-urbana-university-of-illinois-library","Urbana, University of Illinois Library","","","","","Illuminated coronation manuscript (historiated initials, ca. 3cm). Incomplete: missing first 6 folios and 2 internal folios.","Hedeman, 'Commemoration of Jeanne d'Évreux's Coronation' (1990)"
"ms-ocf-xxiia-c","C","C","C — Vatican City, BAV, MS Chigi C VI 182","E22 Human-Made Object","artifact","manuscript_witness","primary","Vatican City, BAV, MS Chigi C VI 182","fols. 72r–5v","Mid 14th century","Cambrai (or Reims)","repo-vatican-city-bav","Vatican City, BAV","","","","","Pontifical with detailed historiated miniatures in bottom margin.",""
"ms-ocf-xxiia-d","D","D","D — London, British Library, MS Egerton 931","E22 Human-Made Object","artifact","manuscript_witness","primary","London, British Library, MS Egerton 931","fols. 183v–03r","1346–378","Sens (for Archbishop Guillaume de Melun)","repo-london-british-library","London, British Library","","","","","Beautiful pontifical. Source of Martène's edition.","Martimort, 203–04, no. 298"
"ms-ocf-xxiia-e","E","E","E — Vatican City, BAV, MS lat. 4733","E22 Human-Made Object","artifact","manuscript_witness","secondary","Vatican City, BAV, MS lat. 4733","fols. 61r–7r","15th century","","repo-vatican-city-bav","Vatican City, BAV","","https://digi.vatlib.it/view/MSS_Vat.lat.4733","","DigiVatLib","Incomplete copy in 'Caeremoniale Jacobi Stefaneschi.'",""
"ms-ocf-xxiia-f","F","F","F — Paris, BnF, MS lat. 3968","E22 Human-Made Object","artifact","manuscript_witness","secondary","Paris, BnF, MS lat. 3968","fols. 208r–10r","15th century","","repo-paris-bnf","Paris, BnF","","","","","In a miscellaneous collection of legal commentaries.",""
"ms-ocf-xxiia-g","G","G","G — Paris, BnF, MS fr. 14371","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS fr. 14371","fols. 318r–24v","ca. 1475","","repo-paris-bnf","Paris, BnF","","","","","Complete ordo (except litany). In 'Protocolle de la chancellerie royale sous Charles VII.' Only surviving ms copied directly from Croix.",""
"ms-ocf-xxiia-g-2","G2","G","G (2) — Paris, BnF, MS fr. 14371","E22 Human-Made Object","artifact","manuscript_witness","secondary","Paris, BnF, MS fr. 14371","fol. 356r","ca. 1475 (same codex as G?; different hand)","","repo-paris-bnf","Paris, BnF","","","","","Coronation oaths only, different hand from G",""
"ms-ocf-xxiia-h","H","H","H — London, British Library, MS Arundel 149","E22 Human-Made Object","artifact","manuscript_witness","secondary","London, British Library, MS Arundel 149","fols. 23r–0v","Late 15th century (after 1484)","","repo-london-british-library","London, British Library","","","","","Secondary witness of the Last Capetian ordo in the Arundel pontifical.",""
"ms-ocf-xxiia-i","I","I","I — Paris, BnF, MS lat. 12080","E22 Human-Made Object","artifact","manuscript_witness","secondary","Paris, BnF, MS lat. 12080","fols. 1r–0v","ca. 1500","","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b10721237p","","Gallica / BnF","Secondary witness of the Last Capetian ordo in this BnF manuscript.",""
"ms-ocf-xxiia-j","J","J","J — Paris, BnF, MS nouv. acq. fr. 7232","E22 Human-Made Object","artifact","manuscript_witness","copy","Paris, BnF, MS nouv. acq. fr. 7232","fols. 7v–1v","17th century, first half","","repo-paris-bnf","Paris, BnF","","","","","Copied from lost MS 5 (Nouveau Croix).",""
"ms-ocf-xxiia-k","K","K","K — Sens, Bibl. mun., MS 11","E22 Human-Made Object","artifact","manuscript_witness","copy","Sens, Bibl. mun., MS 11","fols. 144r–55r","1671","","repo-sens-bibl-mun","Sens, Bibl. mun.","","","","","Copied from D.",""
