"id","label","openatlasClass","systemClass","type","lat","lon","certainty","note"
"place-cambrai","Cambrai","E53 Place","place","scriptorium_or_origin_place","50.176","3.235","probable","Origin/context place parsed from ""Cambrai (or Reims)""."
"place-france","France","E53 Place","place","regional_context","46.8","2.4","possible","Origin/context place parsed from ""France""."
"repo-london-british-library","London, British Library","E53 Place","place","repository_place","51.5299","-0.1277","certain","Current repository inferred from shelfmark: London, British Library, MS Arundel 149"
"place-meaux","Meaux","E53 Place","place","scriptorium_or_origin_place","48.96","2.888","probable","Origin/context place parsed from ""Meaux (pontifical)""."
"repo-paris-bnf","Paris, BnF","E53 Place","place","repository_place","48.8339","2.3757","certain","Current repository inferred from shelfmark: Paris, BnF, MS nouv. acq. fr. 7232"
"place-reims","Reims","E53 Place","place","scriptorium_or_origin_place","49.258","4.031","probable","Origin/context place parsed from ""Cambrai (or Reims)""."
"place-sens","Sens","E53 Place","place","scriptorium_or_origin_place","48.198","3.283","probable","Origin/context place parsed from ""Sens (for Archbishop Guillaume de Melun)""."
"repo-sens-bibl-mun","Sens, Bibl. mun.","E53 Place","place","repository_place","48.1974","3.282","certain","Current repository inferred from shelfmark: Sens, Bibl. mun., MS 11"
"repo-urbana-university-of-illinois-library","Urbana, University of Illinois Library","E53 Place","place","repository_place","40.102","-88.2272","certain","Current repository inferred from shelfmark: Urbana, University of Illinois Library, unnumbered MS"
"repo-vatican-city-bav","Vatican City, BAV","E53 Place","place","repository_place","41.9022","12.4539","certain","Current repository inferred from shelfmark: Vatican City, BAV, MS lat. 4733"
