"subject","predicate","object","certainty","source"
"ms-ocf-xxiia-a","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-a","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiia-a-origin-meaux","occurred_at","place-meaux","probable","origin field"
"ms-ocf-xxiia-a","has_origin_or_context_place","place-meaux","probable","origin field"
"ms-ocf-xxiia-b","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-b","currently_kept_at","repo-urbana-university-of-illinois-library","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiia-b-origin-france","occurred_at","place-france","possible","origin field"
"ms-ocf-xxiia-b","has_origin_or_context_place","place-france","possible","origin field"
"ms-ocf-xxiia-c","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-c","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiia-c-origin-cambrai","occurred_at","place-cambrai","probable","origin field"
"ms-ocf-xxiia-c","has_origin_or_context_place","place-cambrai","probable","origin field"
"event-ms-ocf-xxiia-c-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xxiia-c","has_origin_or_context_place","place-reims","probable","origin field"
"ms-ocf-xxiia-d","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-d","currently_kept_at","repo-london-british-library","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiia-d-origin-sens","occurred_at","place-sens","probable","origin field"
"ms-ocf-xxiia-d","has_origin_or_context_place","place-sens","probable","origin field"
"ms-ocf-xxiia-e","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-e","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-f","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-f","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-g","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-g","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-g-2","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-g-2","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-h","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-h","currently_kept_at","repo-london-british-library","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-i","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-i","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-j","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-j","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-k","witnesses","OCF-XXIIA","certain","OCF-XXIIA witness list"
"ms-ocf-xxiia-k","currently_kept_at","repo-sens-bibl-mun","certain","shelfmark/repository metadata"
"ms-ocf-xxiia-a","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiia-a","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xxiia-a","cited_by","ref-ms-ocf-xxiia-a-bib-1","certain","edition_or_catalogue"
"ms-ocf-xxiia-a","cited_by","ref-ms-ocf-xxiia-a-bib-2","certain","bibliography"
"ms-ocf-xxiia-b","associated_with","actor-university-illinois-library","probable","entity enrichment"
"ms-ocf-xxiia-b","cited_by","ref-ms-ocf-xxiia-b-bib-1","certain","edition_or_catalogue"
"ms-ocf-xxiia-c","associated_with","actor-bav","probable","entity enrichment"
"ms-ocf-xxiia-c","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxiia-c","associated_with","actor-cambrai-church","probable","entity enrichment"
"ms-ocf-xxiia-d","associated_with","actor-british-library","probable","entity enrichment"
"ms-ocf-xxiia-d","associated_with","actor-sens-cathedral","probable","entity enrichment"
"ms-ocf-xxiia-d","cited_by","ref-ms-ocf-xxiia-d-bib-1","certain","bibliography"
"ms-ocf-xxiia-e","associated_with","actor-bav","probable","entity enrichment"
"ms-ocf-xxiia-e","has_reference","ref-ms-ocf-xxiia-e-digital","certain","digital_facsimile"
"ms-ocf-xxiia-f","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiia-g","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiia-g","associated_with","actor-arles-church","probable","entity enrichment"
"ms-ocf-xxiia-g","associated_person","actor-charles-v-france","probable","entity enrichment"
"ms-ocf-xxiia-g-2","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiia-h","associated_with","actor-british-library","probable","entity enrichment"
"ms-ocf-xxiia-i","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiia-i","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xxiia-i","has_reference","ref-ms-ocf-xxiia-i-digital","certain","digital_facsimile"
"ms-ocf-xxiia-j","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiia-k","associated_with","actor-sens-cathedral","probable","entity enrichment"
"OCF-XXIIA","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-a","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-b","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-c","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-d","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-e","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-f","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-g","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-g-2","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-h","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-i","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-j","certain","OCF-XXIIA witness list"
"OCF-XXIIA","preserved_in","ms-ocf-xxiia-k","certain","OCF-XXIIA witness list"
