"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-saint-sulpice-archives","Archives Saint-Sulpice","E74 Group","actor","institution","repository institution","repo-paris-archives-saint-sulpice",""
"actor-arles-church","Arles ecclesiastical milieu","E74 Group","actor","institution","episcopal / liturgical context","place-arles",""
"actor-bayeux-church","Bayeux ecclesiastical milieu","E74 Group","actor","institution","episcopal / liturgical context","place-bayeux",""
"actor-beauvais-church","Beauvais ecclesiastical milieu","E74 Group","actor","institution","episcopal / liturgical context","place-beauvais",""
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf",""
"actor-biblissima","Biblissima","E74 Group","actor","source","digital source aggregator","",""
"actor-british-library","British Library","E74 Group","actor","institution","repository institution / digital provider","repo-london-british-library",""
"actor-charles-villiers-isle-adam","Charles de Villiers-de-l'Isle-Adam","E21 Person","actor","person","bishop / patron or owner","place-beauvais",""
"actor-charles-v-france","Charles V of France","E21 Person","actor","person","royal patron / former owner","place-paris",""
"actor-claire-sherman","Claire Richter Sherman","E21 Person","actor","editor","modern scholar","",""
"actor-ew-dewick","E. S. Dewick","E21 Person","actor","editor","editor / scholar","",""
"actor-gallica","Gallica","E74 Group","actor","source","digital source platform","repo-paris-bnf",""
"actor-guillaume-de-marafin","Guillaume de Marafin","E21 Person","actor","person","bishop / patron or owner","place-noyon",""
"actor-iiif","IIIF","E74 Group","actor","source","image/service reference","",""
"actor-jean-duke-of-berry","Jean, Duke of Berry","E21 Person","actor","person","royal patron / former owner","place-bourges",""
"actor-duke-of-bedford","John, Duke of Bedford","E21 Person","actor","person","collector / transfer actor","",""
"actor-noyon-church","Noyon ecclesiastical milieu","E74 Group","actor","institution","liturgical/sacramentary context","place-noyon",""
"actor-royal-library-paris","Royal Library of Charles V","E74 Group","actor","institution","royal collection / provenance context","place-paris",""
"actor-sainte-chapelle-bourges","Sainte-Chapelle of Bourges","E74 Group","actor","institution","former repository / royal chapel context","place-bourges",""
