"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xxiii-a-current-repository","A kept at London, British Library","E7 Activity","activity","current_repository","ms-ocf-xxiii-a","repo-london-british-library","","","London, British Library, MS Cotton Tiberius B.viii is currently kept at London, British Library.","certain"
"event-ms-ocf-xxiii-a-origin-arles","A origin/context: Arles","E12 Production","production","copying_or_origin","ms-ocf-xxiii-a","place-arles","1365 (13 April 1365” April 1366)","1365 (13 April 1365” April 1366)","London, British Library, MS Cotton Tiberius B.viii: origin/context recorded as ""Paris (for Charles V, royal library)"".","probable"
"event-ms-ocf-xxiii-a-origin-paris","A origin/context: Paris","E12 Production","production","copying_or_origin","ms-ocf-xxiii-a","place-paris","1365 (13 April 1365” April 1366)","1365 (13 April 1365” April 1366)","London, British Library, MS Cotton Tiberius B.viii: origin/context recorded as ""Paris (for Charles V, royal library)"".","probable"
"event-ms-ocf-xxiii-a-origin-royal-library-paris","A origin/context: Royal Library, Paris","E12 Production","production","copying_or_origin","ms-ocf-xxiii-a","place-royal-library-paris","1365 (13 April 1365” April 1366)","1365 (13 April 1365” April 1366)","London, British Library, MS Cotton Tiberius B.viii: origin/context recorded as ""Paris (for Charles V, royal library)"".","probable"
"event-ms-ocf-xxiii-b-current-repository","B kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiii-b","repo-paris-bnf","","","Paris, BnF, MS lat. 8886 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiii-b-origin-bayeux","B origin/context: Bayeux","E12 Production","production","copying_or_origin","ms-ocf-xxiii-b","place-bayeux","Early 15th century","Early 15th century","Paris, BnF, MS lat. 8886: origin/context recorded as ""Bayeux (pontifical) / for Jean, Duke of Berry"".","probable"
"event-ms-ocf-xxiii-c-current-repository","C kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiii-c","repo-paris-bnf","","","Paris, BnF, MS lat. 9479 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiii-c-origin-arles","C origin/context: Arles","E12 Production","production","copying_or_origin","ms-ocf-xxiii-c","place-arles","Early 15th century (before 1427/1435)","Early 15th century (before 1427/1435)","Paris, BnF, MS lat. 9479: origin/context recorded as ""Arles (pontifical, with addition)"".","probable"
"event-ms-ocf-xxiii-d-current-repository","D kept at London, British Library","E7 Activity","activity","current_repository","ms-ocf-xxiii-d","repo-london-british-library","","","London, British Library, MS Additional 32097 is currently kept at London, British Library.","certain"
"event-ms-ocf-xxiii-e-current-repository","E kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiii-e","repo-paris-bnf","","","Paris, BnF, MS Dupuy 365 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiii-f-current-repository","F kept at Paris, Archives de Saint-Sulpice","E7 Activity","activity","current_repository","ms-ocf-xxiii-f","repo-paris-archives-de-saint-sulpice","","","Paris, Archives de Saint-Sulpice, MS 1928 is currently kept at Paris, Archives de Saint-Sulpice.","certain"
"event-ms-ocf-xxiii-f-origin-noyon","F origin/context: Noyon","E12 Production","production","copying_or_origin","ms-ocf-xxiii-f","place-noyon","ca. 1480","ca. 1480","Paris, Archives de Saint-Sulpice, MS 1928: origin/context recorded as ""Noyon (for Bishop Guillaume de Marafin, 1473–501)"".","probable"
"event-ms-ocf-xxiii-g-current-repository","G kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxiii-g","repo-paris-bnf","","","Paris, BnF, MS lat. 13314 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxiii-g-origin-arles","G origin/context: Arles","E12 Production","production","copying_or_origin","ms-ocf-xxiii-g","place-arles","1530–535","1530–535","Paris, BnF, MS lat. 13314: origin/context recorded as ""Beauvais (for Bishop Charles de Villiers-de-l'Isle-Adam)"".","probable"
"event-ms-ocf-xxiii-g-origin-beauvais","G origin/context: Beauvais","E12 Production","production","copying_or_origin","ms-ocf-xxiii-g","place-beauvais","1530–535","1530–535","Paris, BnF, MS lat. 13314: origin/context recorded as ""Beauvais (for Bishop Charles de Villiers-de-l'Isle-Adam)"".","probable"
