"subject","predicate","object","certainty","source"
"ms-ocf-xxiii-a","witnesses","OCF-XXIII","certain","OCF-XXIII witness list"
"ms-ocf-xxiii-a","currently_kept_at","repo-london-british-library","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiii-a-origin-arles","occurred_at","place-arles","probable","origin field"
"ms-ocf-xxiii-a","has_origin_or_context_place","place-arles","probable","origin field"
"event-ms-ocf-xxiii-a-origin-paris","occurred_at","place-paris","probable","origin field"
"ms-ocf-xxiii-a","has_origin_or_context_place","place-paris","probable","origin field"
"event-ms-ocf-xxiii-a-origin-royal-library-paris","occurred_at","place-royal-library-paris","probable","origin field"
"ms-ocf-xxiii-a","has_origin_or_context_place","place-royal-library-paris","probable","origin field"
"ms-ocf-xxiii-b","witnesses","OCF-XXIII","certain","OCF-XXIII witness list"
"ms-ocf-xxiii-b","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiii-b-origin-bayeux","occurred_at","place-bayeux","probable","origin field"
"ms-ocf-xxiii-b","has_origin_or_context_place","place-bayeux","probable","origin field"
"ms-ocf-xxiii-c","witnesses","OCF-XXIII","certain","OCF-XXIII witness list"
"ms-ocf-xxiii-c","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiii-c-origin-arles","occurred_at","place-arles","probable","origin field"
"ms-ocf-xxiii-c","has_origin_or_context_place","place-arles","probable","origin field"
"ms-ocf-xxiii-d","witnesses","OCF-XXIII","certain","OCF-XXIII witness list"
"ms-ocf-xxiii-d","currently_kept_at","repo-london-british-library","certain","shelfmark/repository metadata"
"ms-ocf-xxiii-e","witnesses","OCF-XXIII","certain","OCF-XXIII witness list"
"ms-ocf-xxiii-e","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xxiii-f","witnesses","OCF-XXIII","certain","OCF-XXIII witness list"
"ms-ocf-xxiii-f","currently_kept_at","repo-paris-archives-de-saint-sulpice","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiii-f-origin-noyon","occurred_at","place-noyon","probable","origin field"
"ms-ocf-xxiii-f","has_origin_or_context_place","place-noyon","probable","origin field"
"ms-ocf-xxiii-g","witnesses","OCF-XXIII","certain","OCF-XXIII witness list"
"ms-ocf-xxiii-g","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xxiii-g-origin-arles","occurred_at","place-arles","probable","origin field"
"ms-ocf-xxiii-g","has_origin_or_context_place","place-arles","probable","origin field"
"event-ms-ocf-xxiii-g-origin-beauvais","occurred_at","place-beauvais","probable","origin field"
"ms-ocf-xxiii-g","has_origin_or_context_place","place-beauvais","probable","origin field"
"ms-ocf-xxiii-a","associated_with","actor-british-library","probable","entity enrichment"
"ms-ocf-xxiii-a","associated_with","actor-arles-church","probable","entity enrichment"
"ms-ocf-xxiii-a","associated_with","actor-royal-library-paris","probable","entity enrichment"
"ms-ocf-xxiii-a","edited_or_studied_by","actor-ew-dewick","probable","entity enrichment"
"ms-ocf-xxiii-a","edited_or_studied_by","actor-claire-sherman","probable","entity enrichment"
"ms-ocf-xxiii-a","associated_person","actor-charles-v-france","probable","entity enrichment"
"ms-ocf-xxiii-a","associated_person","actor-duke-of-bedford","probable","entity enrichment"
"ms-ocf-xxiii-a","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xxiii-a","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xxiii-a","has_reference","ref-ms-ocf-xxiii-a-digital","certain","iiif_manifest"
"ms-ocf-xxiii-a","cited_by","ref-ms-ocf-xxiii-a-bib-1","certain","edition_or_catalogue"
"ms-ocf-xxiii-a","cited_by","ref-ms-ocf-xxiii-a-bib-2","certain","edition_or_catalogue"
"ms-ocf-xxiii-b","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiii-b","associated_with","actor-bayeux-church","probable","entity enrichment"
"ms-ocf-xxiii-b","associated_with","actor-sainte-chapelle-bourges","probable","entity enrichment"
"ms-ocf-xxiii-b","associated_person","actor-jean-duke-of-berry","probable","entity enrichment"
"ms-ocf-xxiii-b","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xxiii-b","has_reference","ref-ms-ocf-xxiii-b-digital","certain","digital_facsimile"
"ms-ocf-xxiii-c","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiii-c","associated_with","actor-arles-church","probable","entity enrichment"
"ms-ocf-xxiii-c","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xxiii-c","has_reference","ref-ms-ocf-xxiii-c-digital","certain","digital_facsimile"
"ms-ocf-xxiii-d","associated_with","actor-british-library","probable","entity enrichment"
"ms-ocf-xxiii-e","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiii-e","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xxiii-e","has_reference","ref-ms-ocf-xxiii-e-digital","certain","digital_facsimile"
"ms-ocf-xxiii-f","associated_with","actor-saint-sulpice-archives","probable","entity enrichment"
"ms-ocf-xxiii-f","associated_with","actor-noyon-church","probable","entity enrichment"
"ms-ocf-xxiii-f","associated_person","actor-guillaume-de-marafin","probable","entity enrichment"
"ms-ocf-xxiii-g","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiii-g","associated_with","actor-beauvais-church","probable","entity enrichment"
"ms-ocf-xxiii-g","associated_with","actor-arles-church","probable","entity enrichment"
"ms-ocf-xxiii-g","associated_person","actor-charles-villiers-isle-adam","probable","entity enrichment"
"ms-ocf-xxiii-g","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xxiii-g","has_reference","ref-ms-ocf-xxiii-g-digital","certain","digital_facsimile"
"OCF-XXIII","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XXIII","preserved_in","ms-ocf-xxiii-a","certain","OCF-XXIII witness list"
"OCF-XXIII","preserved_in","ms-ocf-xxiii-b","certain","OCF-XXIII witness list"
"OCF-XXIII","preserved_in","ms-ocf-xxiii-c","certain","OCF-XXIII witness list"
"OCF-XXIII","preserved_in","ms-ocf-xxiii-d","certain","OCF-XXIII witness list"
"OCF-XXIII","preserved_in","ms-ocf-xxiii-e","certain","OCF-XXIII witness list"
"OCF-XXIII","preserved_in","ms-ocf-xxiii-f","certain","OCF-XXIII witness list"
"OCF-XXIII","preserved_in","ms-ocf-xxiii-g","certain","OCF-XXIII witness list"
