"subject","predicate","object","certainty","source"
"ms-ocf-xxiv-a","witnesses","OCF-XXIV","certain","OCF-XXIV witness list"
"ms-ocf-xxiv-a","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xxiv-b","witnesses","OCF-XXIV","certain","OCF-XXIV witness list"
"ms-ocf-xxiv-b","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"ms-ocf-xxiv-c","witnesses","OCF-XXIV","certain","OCF-XXIV witness list"
"ms-ocf-xxiv-c","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"ms-ocf-xxiv-d","witnesses","OCF-XXIV","certain","OCF-XXIV witness list"
"ms-ocf-xxiv-d","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"ms-ocf-xxiv-a","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxiv-a","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxiv-b","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxiv-c","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xxiv-d","associated_with","actor-reims-cathedral","probable","entity enrichment"
"OCF-XXIV","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XXIV","preserved_in","ms-ocf-xxiv-a","certain","OCF-XXIV witness list"
"OCF-XXIV","preserved_in","ms-ocf-xxiv-b","certain","OCF-XXIV witness list"
"OCF-XXIV","preserved_in","ms-ocf-xxiv-c","certain","OCF-XXIV witness list"
"OCF-XXIV","preserved_in","ms-ocf-xxiv-d","certain","OCF-XXIV witness list"
