"subject","predicate","object","certainty","source"
"ms-ocf-xxv-a","witnesses","OCF-XXV","certain","OCF-XXV witness list"
"ms-ocf-xxv-a","currently_kept_at","repo-london-british-library","certain","shelfmark/repository metadata"
"ms-ocf-xxv-b","witnesses","OCF-XXV","certain","OCF-XXV witness list"
"ms-ocf-xxv-b","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xxv-b-origin-brienne-collection-context","occurred_at","place-brienne-collection-context","possible","origin field"
"ms-ocf-xxv-b","has_origin_or_context_place","place-brienne-collection-context","possible","origin field"
"ms-ocf-xxv-c","witnesses","OCF-XXV","certain","OCF-XXV witness list"
"ms-ocf-xxv-c","currently_kept_at","repo-paris-bibl-de-l-institut-de-france","certain","shelfmark/repository metadata"
"ms-ocf-xxv-d","witnesses","OCF-XXV","certain","OCF-XXV witness list"
"ms-ocf-xxv-d","currently_kept_at","repo-paris-bibl-de-l-arsenal","certain","shelfmark/repository metadata"
"ms-ocf-xxv-a","associated_with","actor-british-library","probable","entity enrichment"
"ms-ocf-xxv-b","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xxv-c","associated_with","actor-institut-de-france","probable","entity enrichment"
"ms-ocf-xxv-c","associated_person","actor-denis-godefroy","probable","entity enrichment"
"OCF-XXV","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XXV","preserved_in","ms-ocf-xxv-a","certain","OCF-XXV witness list"
"OCF-XXV","preserved_in","ms-ocf-xxv-b","certain","OCF-XXV witness list"
"OCF-XXV","preserved_in","ms-ocf-xxv-c","certain","OCF-XXV witness list"
"OCF-XXV","preserved_in","ms-ocf-xxv-d","certain","OCF-XXV witness list"
