"id","label","entity_type","openatlas_class","tradition","tradition_context","date","prg_number","alt_id","source_xml","description"
"PRG-001","Ad capillos tondendam.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","I","(PRG n. I; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 78)","CARo - Pontifical Romano-Germanique.XML","Ad capillos tondendam. (PRG-001)"
"PRG-002","Oratio ad puerum tonsurandum.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","II","(PRG n. II; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 79)","CARo - Pontifical Romano-Germanique.XML","Oratio ad puerum tonsurandum. (PRG-002)"
"PRG-003","Prefatio ad clericum faciendum.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","III","(PRG n. III; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 79)","CARo - Pontifical Romano-Germanique.XML","Prefatio ad clericum faciendum. (PRG-003)"
"PRG-004","Oratio ad barbam tondendam.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","IV","(PRG n. IV; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 81)","CARo - Pontifical Romano-Germanique.XML","Oratio ad barbam tondendam. (PRG-004)"
"PRG-005","Denuntiatio mensis primi, quarti, septimi et deeimi.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","V","(PRG n. V; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 82)","CARo - Pontifical Romano-Germanique.XML","Denuntiatio mensis primi, quarti, septimi et deeimi. (PRG-005)"
"PRG-006","Item invitatio plebis de ieiunio mensis primi, quarti, VII et X.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","VI","(PRG n. VI; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 82)","CARo - Pontifical Romano-Germanique.XML","Item invitatio plebis de ieiunio mensis primi, quarti, VII et X. (PRG-006)"
"PRG-007","De quatuor temporibus ieiuniorum, primi, quarti, septimi et","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","VII","(PRG n. VII; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 83)","CARo - Pontifical Romano-Germanique.XML","De quatuor temporibus ieiuniorum, primi, quarti, septimi et (PRG-007)"
"PRG-008","Item de quattuor temporibus ieiuniorum quando fiunt duode","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","VIII","(PRG n. VIII; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 84)","CARo - Pontifical Romano-Germanique.XML","Item de quattuor temporibus ieiuniorum quando fiunt duode (PRG-008)"
"PRG-009","Caput de canone Calcedonense.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","IX","(PRG n. IX; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 85)","CARo - Pontifical Romano-Germanique.XML","Caput de canone Calcedonense. (PRG-009)"
"PRG-010","Capitulum sancti Gregorii papae.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","X","(PRG n. X; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 85)","CARo - Pontifical Romano-Germanique.XML","Capitulum sancti Gregorii papae. (PRG-010)"
"PRG-011","Capitulum Zosimi papae l.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XI","(PRG n. XI; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 85)","CARo - Pontifical Romano-Germanique.XML","Capitulum Zosimi papae l. (PRG-011)"
"PRG-012","Capitulum Leonis papae I.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XII","(PRG n. XII; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 86)","CARo - Pontifical Romano-Germanique.XML","Capitulum Leonis papae I. (PRG-012)"
"PRG-013","Capitalum Clementis papae de oblationibus altaris [De","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XIII","(PRG n. XIII; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 87)","CARo - Pontifical Romano-Germanique.XML","Capitalum Clementis papae de oblationibus altaris [De (PRG-013)"
"PRG-014","De officiis VII graduum Ysidori capitula.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XIV","(PRG n. XIV; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 87)","CARo - Pontifical Romano-Germanique.XML","De officiis VII graduum Ysidori capitula. (PRG-014)"
"PRG-015","Ordo qualiter in romana aecclesia sacri ordines fiunt [Ordi","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XV","(PRG n. XV; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 88)","CARo - Pontifical Romano-Germanique.XML","Ordo qualiter in romana aecclesia sacri ordines fiunt [Ordi (PRG-015)"
"PRG-016","[Ordo qualiter in romana ecclesia presbiteri, diaconi rei","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XVI","(PRG n. XVI; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 95)","CARo - Pontifical Romano-Germanique.XML","[Ordo qualiter in romana ecclesia presbiteri, diaconi rei (PRG-016)"
"PRG-017","Orationes. pro ipsis ad missam.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XVII","(PRG n. XVII; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 111)","CARo - Pontifical Romano-Germanique.XML","Orationes. pro ipsis ad missam. (PRG-017)"
"PRG-018","Item missa in natali consecrationis diaconi.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XVIII","(PRG n. XVIII; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 112)","CARo - Pontifical Romano-Germanique.XML","Item missa in natali consecrationis diaconi. (PRG-018)"
"PRG-019","Item in natali consecrationis presbiteri qualiter sibi missas","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XIX","(PRG n. XIX; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 113)","CARo - Pontifical Romano-Germanique.XML","Item in natali consecrationis presbiteri qualiter sibi missas (PRG-019)"
"PRG-020","Consecratio sacrae virginis quae in epiphania vel in alvis","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XX","(PRG n. XX; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 113)","CARo - Pontifical Romano-Germanique.XML","Consecratio sacrae virginis quae in epiphania vel in alvis (PRG-020)"
"PRG-021","Item* missa in natali virginum.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","XXI","(PRG n. XXI; Vogel-Elze, LE TEXTE I (NN. I-XCVIII); extracted from PDF p. 122)","CARo - Pontifical Romano-Germanique.XML","Item* missa in natali virginum. (PRG-021)"
