"id","label","entity_type","openatlas_class","related_ordo_id"
"ref-prg-001-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-001"
"ref-prg-002-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-002"
"ref-prg-003-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-003"
"ref-prg-004-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-004"
"ref-prg-005-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-005"
"ref-prg-006-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-006"
"ref-prg-007-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-007"
"ref-prg-008-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-008"
"ref-prg-009-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-009"
"ref-prg-010-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-010"
"ref-prg-011-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-011"
"ref-prg-012-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie","Edition: Cyrille Vogel and Reinhard Elze, Le pontifical romano-germanique du dixieme siecle, Studi e testi 226-227-269, vols. 1-3, Vatican City, 1963-1972.","edition_reference","E31 Document","PRG-012"
