"subject","predicate","object"
"PRG-001","belongs_to_tradition","tradition-prg"
"PRG-001","belongs_to_tradition","tradition-pontifical"
"PRG-001","has_source","ref-prg-001-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-001","has_main_text","PRG-001-text-001"
"PRG-001","has_main_text","PRG-001-text-002"
"PRG-001","has_main_text","PRG-001-text-003"
"PRG-001","has_main_text","PRG-001-text-004"
"PRG-001","has_witness_siglum","witness-prg-b"
"PRG-001","has_witness_siglum","witness-prg-c"
"PRG-001","has_witness_siglum","witness-prg-d"
"PRG-001","has_witness_siglum","witness-prg-g"
"PRG-001","has_witness_siglum","witness-prg-t"
"PRG-001","has_witness_siglum","witness-prg-v"
"PRG-001","has_apparatus","PRG-001-text-005"
"PRG-002","belongs_to_tradition","tradition-prg"
"PRG-002","belongs_to_tradition","tradition-pontifical"
"PRG-002","has_source","ref-prg-002-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-002","has_main_text","PRG-002-text-001"
"PRG-002","has_main_text","PRG-002-text-002"
"PRG-002","has_main_text","PRG-002-text-003"
"PRG-003","belongs_to_tradition","tradition-prg"
"PRG-003","belongs_to_tradition","tradition-pontifical"
"PRG-003","has_source","ref-prg-003-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-003","has_main_text","PRG-003-text-001"
"PRG-003","has_main_text","PRG-003-text-002"
"PRG-003","has_main_text","PRG-003-text-003"
"PRG-003","has_main_text","PRG-003-text-004"
"PRG-003","has_main_text","PRG-003-text-005"
"PRG-003","has_main_text","PRG-003-text-006"
"PRG-003","has_main_text","PRG-003-text-007"
"PRG-003","has_sources","PRG-003-text-008"
"PRG-003","has_witness_siglum","witness-prg-a"
"PRG-003","has_apparatus","PRG-003-text-009"
"PRG-003","has_apparatus","PRG-003-text-010"
"PRG-003","has_apparatus","PRG-003-text-011"
"PRG-003","has_apparatus","PRG-003-text-012"
"PRG-003","has_apparatus","PRG-003-text-013"
"PRG-003","has_apparatus","PRG-003-text-014"
"PRG-003","has_apparatus","PRG-003-text-015"
"PRG-004","belongs_to_tradition","tradition-prg"
"PRG-004","belongs_to_tradition","tradition-pontifical"
"PRG-004","has_source","ref-prg-004-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-004","has_main_text","PRG-004-text-001"
"PRG-004","has_main_text","PRG-004-text-002"
"PRG-004","has_sources","PRG-004-text-003"
"PRG-004","has_witness_siglum","witness-prg-a"
"PRG-004","has_main_text","PRG-004-text-004"
"PRG-004","has_main_text","PRG-004-text-005"
"PRG-004","has_main_text","PRG-004-text-006"
"PRG-004","has_witness_siglum","witness-prg-c"
"PRG-004","has_main_text","PRG-004-text-007"
"PRG-004","has_main_text","PRG-004-text-008"
"PRG-004","has_witness_siglum","witness-prg-c"
"PRG-004","has_main_text","PRG-004-text-009"
"PRG-005","belongs_to_tradition","tradition-prg"
"PRG-005","belongs_to_tradition","tradition-pontifical"
"PRG-005","has_source","ref-prg-005-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-005","has_main_text","PRG-005-text-001"
"PRG-006","belongs_to_tradition","tradition-prg"
"PRG-006","belongs_to_tradition","tradition-pontifical"
"PRG-006","has_source","ref-prg-006-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-006","has_sources","PRG-006-text-001"
"PRG-006","has_witness_siglum","witness-prg-c"
"PRG-006","has_sources","PRG-006-text-002"
"PRG-006","has_witness_siglum","witness-prg-g"
"PRG-007","belongs_to_tradition","tradition-prg"
"PRG-007","belongs_to_tradition","tradition-pontifical"
"PRG-007","has_source","ref-prg-007-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-007","has_main_text","PRG-007-text-001"
"PRG-007","has_main_text","PRG-007-text-002"
"PRG-007","has_main_text","PRG-007-text-003"
"PRG-007","has_main_text","PRG-007-text-004"
"PRG-007","has_main_text","PRG-007-text-005"
"PRG-007","has_main_text","PRG-007-text-006"
"PRG-007","has_main_text","PRG-007-text-007"
"PRG-007","has_main_text","PRG-007-text-008"
"PRG-007","has_sources","PRG-007-text-009"
"PRG-007","has_witness_siglum","witness-prg-g"
"PRG-008","belongs_to_tradition","tradition-prg"
"PRG-008","belongs_to_tradition","tradition-pontifical"
"PRG-008","has_source","ref-prg-008-0-edition-cyrille-vogel-and-reinhard-elze-le-pontifical-romano-germanique-du-dixie"
"PRG-008","has_main_text","PRG-008-text-001"
"PRG-008","has_main_text","PRG-008-text-002"
"PRG-008","has_main_text","PRG-008-text-003"
"PRG-008","has_main_text","PRG-008-text-004"
"PRG-008","has_main_text","PRG-008-text-005"
"PRG-008","has_main_text","PRG-008-text-006"
"PRG-008","has_main_text","PRG-008-text-007"
"PRG-008","has_main_text","PRG-008-text-008"
"PRG-008","has_main_text","PRG-008-text-009"
"PRG-008","has_main_text","PRG-008-text-010"
"PRG-008","has_main_text","PRG-008-text-011"
"PRG-008","has_main_text","PRG-008-text-012"
"PRG-008","has_sources","PRG-008-text-013"
